Prerequisites,Course Name,Credits,Concurrent Enrollment
,ARTH 2180,3,False
,ARTH 2190,3,False
,ARTH 2200,3,False
,ARTH 2220,3,False
,ARTH 2300,3,False
,ARTH 2320,3,False
,ARTH 2350,3,False
,ARTH 2410,3,False
,ARTH 2420,3,False
,ARTH 2450,3,False
,ARTH 2500,3,False
,ARTH 2510,3,False
,ARTH 2520,3,False
,ARTH 2700,3,False
,ARTH 2710,3,False
,ARTH 2750,3,False
,ARTH 2800,3,False
,ARTH 2930,3,False
,ARTH 2980,6,False
,ARTH 3010,3,False
,ARTH 3020,3,False
,ARTH 3140,3,False
,ARTH 3350,3,False
,ARTH 3410,3,False
,ARTH 3450,3,False
,ARTH 3500,3,False
,ARTH 3510,3,False
,ARTH 3520,3,False
,ARTH 3630,3,False
,ARTH 3700,3,False
,ARTH 3710,3,False
,ARTH 3720,3,False
,ARTH 3750,3,False
CORE 1000;CORE 1500,ARTH 3770,3,True
,ARTH 3800,3,False
,ARTH 3880,3,False
,ARTH 3910,6,False
,ARTH 3930,3,False
,ARTH 3980,3,False
,ARTH 4810,3,False
,ARTH 4900,3,False
,ARTH 4910,6,False
,ARTH 4930,3,False
,ARTH 4980,6,False
,AS 1000,18,False
,AS 1200,1,False
,AS 1840,1,False
,AS 1930,4,False
,AS 1980,3,False
,AS 2930,6,False
,AS 2980,3,False
,AS 3500,3,False
,AS 3930,3,False
,AS 3980,3,False
,AS 4910,6,False
,AS 4930,4,False
,AS 4960,3,False
,AS 4980,3,False
,MAT 1000,1,False
,MAT 2000,1,False
,MAT 2930,3,False
,MAT 2980,3,False
CORE 1500,MAT 3000,2,False
,MAT 3230,3,False
,MAT 3930,4,False
,MAT 3980,3,False
,MAT 4930,3,False
,MAT 4970,0,False
,MAT 4980,3,False
,ASCI 1010,2,False
,ASCI 1300,3,False
,ASCI 1510,3,False
,ASCI 1850,3,False
MATH 1200,ASCI 2200,3,False
,ASCI 2250,3,False
,ASCI 2750,3,False
,ASCI 2910,1,False
,ASCI 2930,3,False
,ASCI 2980,3,False
,ASCI 3010,3,False
,ASCI 3020,3,False
,ASCI 3050,3,False
FSCI 2150;FSCI 2250,ASCI 3070,2,False
,ASCI 3100,3,False
,ASCI 3600,3,False
ASCI 2910,ASCI 3910,1,False
,ASCI 3915,3,False
,ASCI 3930,3,False
,ASCI 3980,3,False
FSCI 2650,ASCI 4012,3,False
