Prerequisites,Concurrent Enrollment,Major,Course Name,Course Details,Credits,Repeatable
,False,Anthropology (ANTH),ANTH 3260,Peace and Conflict,3,False
,False,Anthropology (ANTH),ANTH 3270,Climate Change & Environmental Futures,3,False
,False,Anthropology (ANTH),ANTH 3280,Forensic Anthropology,3,False
,False,Anthropology (ANTH),ANTH 3290,Native Peoples of North America,3,False
,False,Anthropology (ANTH),ANTH 3340,World Archaeology,3,False
,False,Anthropology (ANTH),ANTH 3390,Studies in Culture: Spain,3,False
"CORE 1000, CORE 1500",True,Anthropology (ANTH),ANTH 3910,Internship,6,True
,False,Anthropology (ANTH),ANTH 3930,Special Topics,3,True
,False,Anthropology (ANTH),ANTH 3980,Independent Study,3,True
,False,Anthropology (ANTH),ANTH 4240,Primate Social Behavior,3,False
"SOC 1100, SOC 1110, SOC 1120, ANTH 1200",False,Anthropology (ANTH),ANTH 4530,Urban Ethnography: Cities in a Global Perspective,3,False
,False,Anthropology (ANTH),ANTH 4540,Environmental Impact,3,False
,False,Anthropology (ANTH),ANTH 4710,Field Recovery Methods,4,False
,False,Anthropology (ANTH),ANTH 4720,Archaeological Lab Method,2,False
"ANTH 4240, ANTH 4530, ANTH 4710, SOC 2000, SOC 4015, SOC 4025",False,Anthropology (ANTH),ANTH 4800,Research Activity: Supervised,3,True
,False,Anthropology (ANTH),ANTH 4870,Capstone in Anthropology,3,False
,False,Anthropology (ANTH),ANTH 4930,Special Topics,3,True
,False,Anthropology (ANTH),ANTH 4980,Advanced Independent Study,3,True
PSY 1010,False,Applied Behavior Analysis (ABA),ABA 3010,Introduction to Applied Behavior Analysis,3,False
,False,Applied Clinical Skills (APCS),APCS 0300,Applied Clinical Skills 3,3,False
,False,Arabic (AR),AR 1010,Communicating in Arabic I,3,False
AR 1010,False,Arabic (AR),AR 1020,Communicating in Arabic II,3,False
,False,Arabic (AR),AR 1930,Special Topics,6,False
,False,Arabic (AR),AR 1980,Independent Study,3,True
,False,Arabic (AR),AR 2930,Special Topics,3,True
,False,Arabic (AR),AR 2980,Independent Study,3,True
,False,Arabic (AR),AR 3910,Internship,6,True
,False,Arabic (AR),AR 3930,Special Topics,3,True
,False,Arabic (AR),AR 3980,Independent Study,3,True
,False,Arabic (AR),AR 4910,Internship,6,True
,False,Arabic (AR),AR 4930,Special Topics,3,True
,False,Arabic (AR),AR 4980,Independent Study,3,True
,False,Art (ART),ART 1930,Special Topics,3,True
,False,Art (ART),ART 1980,Independent Study,3,True
,False,Art (ART),ART 2000,Drawing I,3,False
,False,Art (ART),ART 2025,Figure Drawing,3,False
,False,Art (ART),ART 2080,The Architect's Sketchbook 1,1,False
,False,Art (ART),ART 2090,The Architect's Sketchbook 2,2,False
,False,Art (ART),ART 2100,Design,3,False
,False,Art (ART),ART 2120,Introduction to Three Dimensional Design,3,False
,False,Art (ART),ART 2150,Color Theory,3,False
,False,Art (ART),ART 2200,Painting I,3,False
,False,Art (ART),ART 2300,Printmaking I,3,False
,False,Art (ART),ART 2400,Ceramics I,3,False
,False,Art (ART),ART 2450,Sculpture I,3,False
,False,Art (ART),ART 2460,Installation and Public Art,3,False
,False,Art (ART),ART 2480,Fibers and Textiles,3,False
,False,Art (ART),ART 2490,Jewelry and Metalsmithing,3,False
,False,Art (ART),ART 2500,Computer Art I,3,False
,False,Art (ART),ART 2600,Analog Photography,3,False
,False,Art (ART),ART 2650,Digital Photography,3,False
,False,Art (ART),ART 2700,Graphic Design I,3,False
,False,Art (ART),ART 2790,Book Arts: An Introduction to Making Artist’s Books,3,False
,False,Art (ART),ART 2800,Studio Freshman Seminar,1,False
,False,Art (ART),ART 2850,Studio Art Seminar,3,False
,False,Art (ART),ART 2930,Special Topics,4,True
,False,Art (ART),ART 2980,Independent Study,6,True
"ART 2000, ART 2100, ART 2120, ART 2150",False,Art (ART),ART 3000,Drawing II,3,False
,False,Art (ART),ART 3025,Figure Drawing: Advanced,3,False
ART 2200,False,Art (ART),ART 3200,Painting II,3,False
ART 2200,False,Art (ART),ART 3300,Printmaking II,3,False
,False,Art (ART),ART 3400,Ceramics II,3,False
ART 2450,False,Art (ART),ART 3450,Sculpture II,3,False
,False,Art (ART),ART 3480,Fibers and Textiles II,3,False
ART 2500,False,Art (ART),ART 3500,Computer Art II,3,False
ART 2700,False,Art (ART),ART 3700,Graphic Design II,3,False
ART 2800,False,Art (ART),ART 3800,Studio Sophomore Seminar,1,False
,False,Art (ART),ART 3910,Studio Art Internship,6,True
,False,Art (ART),ART 3930,Special Topics,3,True
,False,Art (ART),ART 3980,Independent Study,3,True
,False,Art (ART),ART 4000,Drawing Studio,3,False
ART 3200,False,Art (ART),ART 4200,Painting Studio,3,False
,False,Art (ART),ART 4300,Printmaking Studio,3,False
,False,Art (ART),ART 4400,Ceramics Studio,3,False
ART 3450,False,Art (ART),ART 4450,Sculpture Studio,3,False
,False,Art (ART),ART 4480,Fibers and Textiles Studio,3,False
ART 3500,False,Art (ART),ART 4500,Computer Art Studio,3,False
ART 3700,False,Art (ART),ART 4700,Graphic Design Studio,3,False
ART 3800,False,Art (ART),ART 4800,Studio Senior Seminar,1,False
CORE 1500,False,Art (ART),ART 4850,Studio Art Senior Exhibit and Capstone,1,False
,False,Art (ART),ART 4910,Internship,6,True
,False,Art (ART),ART 4930,Special Topics,4,True
,False,Art (ART),ART 4980,Advanced Independent Study,6,True
,False,Art History (ARTH),ARTH 1000,Approaching the Arts,3,False
,False,Art History (ARTH),ARTH 1010,Art and its Histories,3,False
,False,Art History (ARTH),ARTH 1020,History of Architecture,3,False
,False,Art History (ARTH),ARTH 1040,Art & Film,3,False
,False,Art History (ARTH),ARTH 1070,American Masterpieces in Art,3,False
,False,Art History (ARTH),ARTH 1080,Masterpieces in Art,3,False
,False,Art History (ARTH),ARTH 1090,Global Masterpieces in Art,3,False
,False,Art History (ARTH),ARTH 1500,Life & Times of Michelangelo,3,False
,False,Art History (ARTH),ARTH 1700,The History of Animation,3,False
,False,Art History (ARTH),ARTH 1930,Special Topics,3,True
,False,Art History (ARTH),ARTH 1980,Independent Study,3,True
CORE 1500,False,Art History (ARTH),ARTH 2000,Art History Seminar,1,False
,False,Art History (ARTH),ARTH 2020,Sculpture in Saint Louis,3,False
,False,Art History (ARTH),ARTH 2030,Art and Philosophy,3,False
,False,Art History (ARTH),ARTH 2050,Controversy in Art,3,False
,False,Art History (ARTH),ARTH 2070,Art and the Body,3,False
,False,Art History (ARTH),ARTH 2100,Art of Jerusalem and Three Faiths: Past and Present,3,False
,False,Art History (ARTH),ARTH 2120,Art in Africa,3,False
,False,Art History (ARTH),ARTH 2140,Islamic Art and Society,3,False
,False,Art History (ARTH),ARTH 2150,Saints in Art,3,False
,False,Art History (ARTH),ARTH 2180,History of Spanish Art,3,False
,False,Art History (ARTH),ARTH 2190,Art and History of Madrid,3,False
,False,Art History (ARTH),ARTH 2200,Art in Rome,3,False
,False,Art History (ARTH),ARTH 2220,African American Art,3,False
,False,Art History (ARTH),ARTH 2300,Ancient Art Survey,3,False
,False,Art History (ARTH),ARTH 2320,Art of the African Diaspora,3,False
,False,Art History (ARTH),ARTH 2350,Excavating Culture of Three Faiths,3,False
,False,Art History (ARTH),ARTH 2410,Art of Cathedrals and Kings,3,False
,False,Art History (ARTH),ARTH 2420,Christian Art,3,False
,False,Art History (ARTH),ARTH 2450,Art of Pilgrimage and Crusades,3,False
,False,Art History (ARTH),ARTH 2500,Early Renaissance Art in Italy,3,False
,False,Art History (ARTH),ARTH 2510,High Renaissance Art in Italy,3,False
,False,Art History (ARTH),ARTH 2520,Art of Nobles and Merchants in the Northern Renaissance,3,False
,False,Art History (ARTH),ARTH 2700,American Art: Colonial to WW II,3,False
,False,Art History (ARTH),ARTH 2710,American Art:  WWII to the Present,3,False
,False,Art History (ARTH),ARTH 2750,Nineteenth-Century Art,3,False
,False,Art History (ARTH),ARTH 2800,Modern Art,3,False
,False,Art History (ARTH),ARTH 2930,Special Topics,3,True
,False,Art History (ARTH),ARTH 2980,Independent Study,6,True
,False,Art History (ARTH),ARTH 3010,Women in Art,3,False
,False,Art History (ARTH),ARTH 3020,Christian Art: Advanced,3,False
,False,Art History (ARTH),ARTH 3140,Islamic Art and Society: Advanced,3,False
,False,Art History (ARTH),ARTH 3350,Excavating Culture of Three Faiths: Advanced Studies,3,False
,False,Art History (ARTH),ARTH 3410,Art of Cathedrals and Kings: Advanced,3,False
,False,Art History (ARTH),ARTH 3450,Art of Pilgrimage and Crusades: Advanced Studies,3,False
,False,Art History (ARTH),ARTH 3500,Early Renaissance Art in Italy: Advanced,3,False
,False,Art History (ARTH),ARTH 3510,High Renaissance Art Italy: Advanced,3,False
,False,Art History (ARTH),ARTH 3520,"Art North Renaissance: Adv
Art of Nobles & Merchants in the Northern Renaissance: Advanced",3,False
,False,Art History (ARTH),ARTH 3630,Golden Age of Spanish Art,3,False
,False,Art History (ARTH),ARTH 3700,American Art: Colonial to WWII: Advanced Studies,3,False
,False,Art History (ARTH),ARTH 3710,American Art: WWII to the Present: Advanced,3,False
,False,Art History (ARTH),ARTH 3720,Modern Art in Spain and France,3,False
,False,Art History (ARTH),ARTH 3750,Nineteenth-Century Art: Advanced,3,False
"CORE 1000, CORE 1500",True,Art History (ARTH),ARTH 3770,Art and Politics: From Goya to the Cold War,3,False
,False,Art History (ARTH),ARTH 3800,Twentieth-Century Art,3,False
,False,Art History (ARTH),ARTH 3880,History of Photography,3,False
,False,Art History (ARTH),ARTH 3910,Internship,6,True
,False,Art History (ARTH),ARTH 3930,Special Topics,3,True
,False,Art History (ARTH),ARTH 3980,Independent Study,3,True
,False,Art History (ARTH),ARTH 4810,Modern Art in Latin America,3,False
,False,Art History (ARTH),ARTH 4900,Research Methods,3,True
,False,Art History (ARTH),ARTH 4910,Internship,6,True
,False,Art History (ARTH),ARTH 4930,Special Topics: General,3,True
,False,Art History (ARTH),ARTH 4980,Advanced Independent Study,6,True
,False,Arts and Sciences (AS),AS 1000,Consortium,18,True
,False,Arts and Sciences (AS),AS 1200,Introduction to Scientific Problem Solving,1,False
,False,Arts and Sciences (AS),AS 1840,Career Decision Making,1,False
,False,Arts and Sciences (AS),AS 1930,Special Topics,4,True
,False,Arts and Sciences (AS),AS 1980,Independent Study,3,True
,False,Arts and Sciences (AS),AS 2930,Advanced Career Enhancement,6,False
,False,Arts and Sciences (AS),AS 2980,Independent Study,3,True
,False,Arts and Sciences (AS),AS 3500,Casa Belize Praxis Seminar,3,False
,False,Arts and Sciences (AS),AS 3930,Special Topics,3,True
,False,Arts and Sciences (AS),AS 3980,Independent Study,3,True
,False,Arts and Sciences (AS),AS 4910,Internship,6,False
,False,Arts and Sciences (AS),AS 4930,Special Topics,4,True
,False,Arts and Sciences (AS),AS 4960,Capstone,3,False
,False,Arts and Sciences (AS),AS 4980,Independent Study,3,True
,False,Athletic Training (MAT),MAT 1000,Intro to Athletic Training,1,False
,False,Athletic Training (MAT),MAT 2000,Athletic Training Student Development I,1,False
,False,Athletic Training (MAT),MAT 2930,Special Topics,3,True
,False,Athletic Training (MAT),MAT 2980,Independent Study,3,True
CORE 1500,False,Athletic Training (MAT),MAT 3000,Athletic Training Student Development II,2,False
,False,Athletic Training (MAT),MAT 3230,Exercise Physiology,3,False
,False,Athletic Training (MAT),MAT 3930,Special Topics,4,True
,False,Athletic Training (MAT),MAT 3980,Independent Study,3,True
,False,Athletic Training (MAT),MAT 4930,Special Topics,3,True
,False,Athletic Training (MAT),MAT 4970,Mastery Assurance,0,False
,False,Athletic Training (MAT),MAT 4980,Independent Study,3,True
,False,Aviation Science (ASCI),ASCI 1010,Professional Orientation,2,False
,False,Aviation Science (ASCI),ASCI 1300,Aviation Weather,3,False
,False,Aviation Science (ASCI),ASCI 1510,The Air Transportation System,3,False
,False,Aviation Science (ASCI),ASCI 1850,Safety Management Systems,3,False
MATH 1200,False,Aviation Science (ASCI),ASCI 2200,Concepts in Aerodynamics,3,False
,False,Aviation Science (ASCI),ASCI 2250,Aviation and Airport Security,3,False
,False,Aviation Science (ASCI),ASCI 2750,Accident Investigation,3,False
,False,Aviation Science (ASCI),ASCI 2910,Co-op with Industry,1,True
,False,Aviation Science (ASCI),ASCI 2930,Special Topics in Aviation Science,3,True
,False,Aviation Science (ASCI),ASCI 2980,Independent Study,3,True
