Prerequisites,Concurrent Enrollment,Major,Course Name,Course Details,Credits,Repeatable
,False,History (HIST),HIST 1600,History of the United States of America to 1865,3,False
,False,History (HIST),HIST 1610,History of the United States Since 1865,3,False
,False,History (HIST),HIST 1630,History of St. Louis,3,False
,False,History (HIST),HIST 1700,"China and Japan To 1600: Histories, Cultures, Identities",3,False
,False,History (HIST),HIST 1710,"China and Japan Since 1600: Samurai, Revolutionaries, Entrepreneurs",3,False
,False,History (HIST),HIST 1730,Who Were the Romans?,3,False
,False,History (HIST),HIST 1740,Peoples and Pandemics in History,3,False
,False,History (HIST),HIST 1930,Special Topics,3,True
,False,History (HIST),HIST 1980,Independent Study,3,True
,False,History (HIST),HIST 2730,Crossroads of the World: The Middle East and North Africa Through History,3,False
"HIST 1110, HIST 1120",False,History (HIST),HIST 2800,Historian's Craft: Methods Proseminar,3,False
,False,History (HIST),HIST 2930,Special Topics,3,True
,False,History (HIST),HIST 2980,Independent Study,3,True
,False,History (HIST),HIST 3000,Ancient Greece,3,False
"CORE 1000, CORE 1500",True,History (HIST),HIST 3015,Homer Between Myth and History,3,False
,False,History (HIST),HIST 3020,The Roman Empire,3,False
,False,History (HIST),HIST 3025,Women & Power in Ancient Rome,3,False
,False,History (HIST),HIST 3030,The Byzantine World: Faith and Power in a Thousand-Year Empire,3,False
,False,History (HIST),HIST 3040,From Barbarians to Crusaders: Europe in the Early Middle Ages,3,False
,False,History (HIST),HIST 3045,Medieval Archaeology,3,False
,False,History (HIST),HIST 3046,Medieval Castles in History and Archaeology,3,False
,False,History (HIST),HIST 3047,Medieval England,3,False
,False,History (HIST),HIST 3050,From Cathedrals to Printing Presses: Europe in the Late Middle Ages,3,False
,False,History (HIST),HIST 3060,The Crusades,3,False
,False,History (HIST),HIST 3070,Catholic Traditions to 1540,3,False
,False,History (HIST),HIST 3080,Catholicism Since 1540,3,False
,False,History (HIST),HIST 3090,The Age of Renaissance,3,False
,False,History (HIST),HIST 3100,The Reformation Era,3,False
,False,History (HIST),HIST 3120,"French Revolution and Napoleon, 1789-1815",3,False
,False,History (HIST),HIST 3140,"Twentieth Century Europe: Era of World Wars, 1914-1945",3,False
,False,History (HIST),HIST 3150,Europe since 1945,3,False
,False,History (HIST),HIST 3160,Eastern Europe,3,False
,False,History (HIST),HIST 3170,Colonial Latin America,3,False
,False,History (HIST),HIST 3220,Jesuits and Their Worlds,3,False
,False,History (HIST),HIST 3240,Africa since 1884,3,False
,False,History (HIST),HIST 3250,World in Conflict Since 1945,3,False
,False,History (HIST),HIST 3280,Russia to 1905,3,False
,False,History (HIST),HIST 3290,Russia Since 1905,3,False
,False,History (HIST),HIST 3305,Nazi Germany,3,False
,False,History (HIST),HIST 3320,Early Modern History of Spain:1469-1818,3,False
,False,History (HIST),HIST 3330,Modern History Spain:1808-Pres,3,False
"HIST 1110, HIST 1120",False,History (HIST),HIST 3335,History of Language Sciences in Spain,3,False
,False,History (HIST),HIST 3340,The Spanish Civil War,3,False
,False,History (HIST),HIST 3390,Seeds of Empires: An Introduction to Food History,3,False
,False,History (HIST),HIST 3420,The Atlantic World,3,False
,False,History (HIST),HIST 3480,"U.S. Civil War and Reconstruction, 1850-1877",3,False
,False,History (HIST),HIST 3500,"Progressive Era to the Jazz Age, 1890-1920",3,False
,False,History (HIST),HIST 3580,American Slavery,3,False
,False,History (HIST),HIST 3590,American Women,3,False
,False,History (HIST),HIST 3600,U.S. History in Film,3,False
,False,History (HIST),HIST 3610,"Civil Rights in America, 1865-1965",3,False
,False,History (HIST),HIST 3640,History of the American West,3,False
,False,History (HIST),HIST 3660,History of Nature in America,3,False
,False,History (HIST),HIST 3700,U.S. Constitutional History,3,False
,False,History (HIST),HIST 3720,Cultural Encounters 1500-1700,3,False
,False,History (HIST),HIST 3740,The British Empire,3,False
,False,History (HIST),HIST 3760,Medieval Spain,3,False
,False,History (HIST),HIST 3770,History of the Jews in Spain,3,False
,False,History (HIST),HIST 3780,"The Making of the Spanish Nation: Identity, Myth & History",3,False
,False,History (HIST),HIST 3910,Internship,6,True
,False,History (HIST),HIST 3930,Special Topics,3,True
,False,History (HIST),HIST 3980,Independent Study,3,True
,False,History (HIST),HIST 4900,Seminar in European History,3,True
,False,History (HIST),HIST 4901,Sem: American History,6,False
,False,History (HIST),HIST 4902,Seminar in World History,3,False
,False,History (HIST),HIST 4910,Internship/History in Practice,6,True
,False,History (HIST),HIST 4911,Internship: Teaching Assistant,3,True
,False,History (HIST),HIST 4930,Special Topics in History,4,True
,False,History (HIST),HIST 4980,Advanced Independent Study,3,True
,False,History (HIST),HIST 4990,History Senior Thesis Prep,3,False
,False,History (HIST),HIST 4991,History Senior Thesis,3,False
,False,Honors (HR),HR 1980,Independent Study,3,True
,False,Honors (HR),HR 2800,Honors Seminar: Our Common Home,3,False
,False,Honors (HR),HR 2930,Special Topics,3,True
,False,Honors (HR),HR 2980,Independent Study,3,True
,False,Honors (HR),HR 3930,Special Topics,4,True
,False,Honors (HR),HR 3980,Independent Study,3,True
"CORE 1000, CORE 1500",True,Honors (HR),HR 4000,Honors Collaborative Inquiry: The Scholar in Society,3,True
,False,Honors (HR),HR 4010,"Honors Cultivating Wellness in Mind, Body, and Spirit",0,False
CORE 1500,True,Honors (HR),HR 4810,Honors Teaching Assistantship,3,False
CORE 1500,True,Honors (HR),HR 4820,Honors Study Abroad,1,True
,False,Honors (HR),HR 4840,Honors Research,3,True
,False,Honors (HR),HR 4850,Honors International Partnership,3,False
CORE 1500,False,Honors (HR),HR 4860,Honors Professional Development and Vocational Discernment,1,False
,False,Honors (HR),HR 4910,Honors Internship,3,True
,False,Honors (HR),HR 4960,Honors Senior Capstone,3,True
,False,Honors (HR),HR 4980,Honors Independent Study,3,True
,False,Hospitality Management (HMGT),HMGT 3000,Introduction to Hospitality Operations,3,False
,False,Hospitality Management (HMGT),HMGT 3200,Event Management,3,False
,False,Hospitality Management (HMGT),HMGT 3400,Branding the Customer Experience,3,False
,False,Hospitality Management (HMGT),HMGT 3600,Hospitality Technology,3,False
,False,Hospitality Management (HMGT),HMGT 3930,Special Topics,3,True
,False,Hospitality Management (HMGT),HMGT 4200,Hospitality Administration,3,False
,False,Hospitality Management (HMGT),HMGT 4930,Special Topics,3,True
"HMGT 3000, HMGT 3200, HMGT 3400, HMGT 3600, HMGT 4200",False,Hospitality Management (HMGT),HMGT 4960,Hospitality Capstone,3,False
,False,Hospitality Management (HMGT),HMGT 4980,Independent Study,3,True
,False,Humanities (HUM),HUM 1500,Engaging the Human Experience,3,True
,False,Humanities (HUM),HUM 1930,Special Topics,4,True
PST 1500,False,Humanities (HUM),HUM 2000,Ethics of Writing,3,False
,False,Humanities (HUM),HUM 2100,Cultivating Intellectual Virtues for Lifelong Learning,3,False
,False,Humanities (HUM),HUM 2150,How to Think Critically,3,False
,False,Humanities (HUM),HUM 2930,Special Topics,4,True
,False,Humanities (HUM),HUM 2980,Independent Study,3,True
,False,Humanities (HUM),HUM 3300,Then and Now: Thinking Historically,3,False
,False,Humanities (HUM),HUM 3400,Creative Thinking: Cultivating an Imaginative Mind,3,False
,False,Humanities (HUM),HUM 3450,Interpreting Texts,3,False
,False,Humanities (HUM),HUM 3500,Writing in a Digital Age,3,False
"CORE 1905, HUM 2100",False,Humanities (HUM),HUM 4100,Engaging Difference in a Pluralistic World,3,False
CORE 1605,False,Humanities (HUM),HUM 4200,Working for the Common Good,3,False
,False,Humanities (HUM),HUM 4800,General Studies Capstone,3,False
,False,Humanities (HUM),HUM 4930,Special Topics,3,True
,False,Humanities (HUM),HUM 4980,Independent Study,3,True
CORE 1500,True,Ignatian Service (SERV),SERV 1000,Ignatian Spirituality and Service,3,False
,False,Ignatian Service (SERV),SERV 2930,Special Topics,3,True
CORE 1500,True,Ignatian Service (SERV),SERV 3000,Ignatian Leadership and Service,3,False
SERV 1000,False,Ignatian Service (SERV),SERV 4960,Capstone: Ignatian Vocation and Service,3,False
,False,"Immunology, Pharmacology, and Therapeutics (IPT)",IPT 0100,"Principles of Immunology, Pharmacology, and Therapeutics",20,True
,False,Intensive English Program (IEP),IEP 0105,Writing and Grammar: Beginner,4,True
,False,Intensive English Program (IEP),IEP 0125,Reading and Vocabulary: Beginner,4,True
,False,Intensive English Program (IEP),IEP 0135,Listening and Speaking: Beginner,4,True
,False,Intensive English Program (IEP),IEP 0205,Writing and Grammar: High Beginner,4,True
,False,Intensive English Program (IEP),IEP 0225,Reading and Vocabulary: High Beginner,4,True
,False,Intensive English Program (IEP),IEP 0235,Listening and Speaking: High Beginner,4,True
,False,Intensive English Program (IEP),IEP 0305,Writing and Grammar: Intermediate,4,False
,False,Intensive English Program (IEP),IEP 0315,Exploring Cultures: Intermediate,5,False
,False,Intensive English Program (IEP),IEP 0325,Reading: Intermediate,5,False
,False,Intensive English Program (IEP),IEP 0335,Listening and Speaking: Intermediate,5,False
,False,Intensive English Program (IEP),IEP 0405,Writing and Grammar Level 4: High Intermediate,5,False
,False,Intensive English Program (IEP),IEP 0415,"People, Places, Connections: An Introduction to Human Geography",5,False
,False,Intensive English Program (IEP),IEP 0425,Reading: High Intermediate,5,False
,False,Intensive English Program (IEP),IEP 0435,Listening & Speaking Level 4: High Intermediate,5,False
,False,Intensive English Program (IEP),IEP 0505,Writing and Grammar Level 5: Low Advanced,2,False
,False,Intensive English Program (IEP),IEP 0515,Intercultural Communication Level 5: Low Advanced,5,False
,False,Intensive English Program (IEP),IEP 0525,Reading and Vocabulary Level 5: Low Advanced,5,False
,False,Intensive English Program (IEP),IEP 0535,Listening and Speaking Level 5: Low Advanced,2,False
,False,Intensive English Program (IEP),IEP 1930,Special Topics,3,True
,False,Internal Medicine (IM),IM 0107,Clinical Exposure to Management of Transplant Patients,3,False
,False,Internal Medicine (IM),IM 0108,Genomics for Medicine,3,False
,False,Internal Medicine (IM),IM 0115,Asthma & Allergy Clinical Services,12,True
,False,Internal Medicine (IM),IM 0301,Internal Medicine Clerkship,12,True
,False,Internal Medicine (IM),IM 0302,Internal Medicine Career Exploration,2,True
,False,Internal Medicine (IM),IM 0305,"Internal Medicine Career Exploration - Allergy, Asthma & Immunology Institute of St. Louis, Inc.",4,True
,False,Internal Medicine (IM),IM 0307,Internal Medicine - Geriatric Medicine at SLU Hospital and Clinics,4,True
,False,Internal Medicine (IM),IM 0308,Internal Medicine - Pulmonary @ SLU Hospital,4,True
,False,Internal Medicine (IM),IM 0310,St. Anthony's at Arnold Family Healthcare,4,True
,False,Internal Medicine (IM),IM 0311,Internal Medicine Career Exploration - Cardiology@SLUH,4,True
,False,Internal Medicine (IM),IM 0401,Sleep Medicine,4,False
,False,Internal Medicine (IM),IM 0406,Medical Intensive Care Unit,12,False
,False,Internal Medicine (IM),IM 0407,Allergy and Immunology,12,False
,False,Internal Medicine (IM),IM 0409,Cardiovascular Disease,12,False
,False,Internal Medicine (IM),IM 0410,Cardiology 3,12,False
,False,Internal Medicine (IM),IM 0413,Clinical Endocrinology,12,False
,False,Internal Medicine (IM),IM 0414,Hematology and Medical Oncology,12,False
,False,Internal Medicine (IM),IM 0415,Clinical Infectious Disease,12,False
,False,Internal Medicine (IM),IM 0417,Nephrology,12,False
,False,Internal Medicine (IM),IM 0419,Pulmonary Disease,12,False
,False,Internal Medicine (IM),IM 0420,Clinical Rheumatology,12,False
,False,Internal Medicine (IM),IM 0421,Introduction to Outpatient Clinical Hepatology,12,False
,False,Internal Medicine (IM),IM 0425,Consultative Internal Medicine,12,False
,False,Internal Medicine (IM),IM 0427,Interpretation of the Electrocardiogram,12,False
,False,Internal Medicine (IM),IM 0428,Ambulatory Medicine,12,False
,False,Internal Medicine (IM),IM 0431,Cardiac Auscultation-An Advanced Course,12,False
,False,Internal Medicine (IM),IM 0433,Inpatient Gastroenterology and Hepatology,12,False
,False,Internal Medicine (IM),IM 0435,Non-Invasive Cardiology,12,False
,False,Internal Medicine (IM),IM 0439,Hospice and Palliative Medicine,12,False
,False,Internal Medicine (IM),IM 0441,Preparing Clinical Cases for Presentation and Publication,12,False
,False,Internal Medicine (IM),IM 0442,Clinical Gastroenterology & Hepatology- St. Anthony's,12,False
,False,Internal Medicine (IM),IM 0446,Nephrology and Hypertension - St. Anthony's Hospital,12,True
,False,Internal Medicine (IM),IM 0450,Intro to Patient Safety and Quality Improvement,12,True
,False,Internal Medicine (IM),IM 0451,Required Ambulatory Medicine,12,True
,False,Internal Medicine (IM),IM 0452,Advanced Art and Practice of Internal Medicine,12,False
,False,Internal Medicine (IM),IM 0453,Geriatric Consultation Service,8,True
,False,Internal Medicine (IM),IM 0454,Point of Care Ultrasound for Internal Medicine,4,True
,False,Internal Medicine (IM),IM 0455,Advanced Physical Diagnosis and Basic Procedural Skills,4,True
,False,Internal Medicine (IM),IM 0456,Medical Nutrition - Past and Present,4,False
,False,Internal Medicine (IM),IM 0499,Internal Medicine Student Chief,12,False
,False,Internal Medicine (IM),IM 0501,Acting Internship: General Internal Medicine - St. Louis University Hospital,4,True
,False,Internal Medicine (IM),IM 0502,Acting Internship: General Internal Medicine at John Cochran VA Medical Center,4,True
,False,Internal Medicine (IM),IM 0504,Acting Internship: General Internal Medicine at St. Mary's Health Center,4,True
,False,Internal Medicine (IM),IM 0505,Acting Internship: General Internal Medicine at St. Luke's Hospital,4,True
,False,Internal Medicine (IM),IM 0506,Acting Internship: Geriatric Medicine at Saint Louis University Hospital,4,True
,False,Internal Medicine (IM),IM 0507,Acting Internship: Gastroenterology - Hepatology at Saint Louis University Hospital,3,True
,False,Internal Medicine (IM),IM 0508,Acting Internship: Clinical Cardiology at Saint Louis University Hospital,3,True
,False,Internal Medicine (IM),IM 0510,Acting Internship: Critical Care Medicine at Saint Louis University Hospital,4,True
,False,Internal Medicine (IM),IM 0512,Acting Internship: Critical Care Medicine at Mercy Medical Center,4,True
,False,Internal Medicine (IM),IM 0901,Internal Medicine Direct Patient Care,12,True
,False,Internal Medicine (IM),IM 0903,Internal Medicine Research,12,True
ECON 1900,False,International Business (IB),IB 2000,Introduction to International Business,3,False
,False,International Business (IB),IB 2930,Special Topics,3,True
,False,International Business (IB),IB 2980,Independent Study,3,True
IB 2000,False,International Business (IB),IB 3020,Latin American Business,3,False
IB 2000,False,International Business (IB),IB 3040,Asian Business,3,False
IB 2000,False,International Business (IB),IB 3060,International Business of the European Union,3,False
IB 2000,False,International Business (IB),IB 3100,Geopolitics of World Business,3,False
IB 2000,False,International Business (IB),IB 3140,International e-Business,3,False
IB 2000,False,International Business (IB),IB 3150,Middle Eastern Business,3,False
IB 2000,False,International Business (IB),IB 3160,Cultural Differences in International Business,3,False
"CORE 1000, CORE 1500",True,International Business (IB),IB 3700,Transitioning to a Sustainable World,3,False
,False,International Business (IB),IB 3980,Independent Study,3,True
IB 2000,False,International Business (IB),IB 4120,International Business Strategies,3,False
IB 2000,False,International Business (IB),IB 4900,Global Immersion in International Business,3,True
IB 2000,False,International Business (IB),IB 4910,International Business Internship,3,True
,False,International Business (IB),IB 4930,Special Topics,3,True
,False,International Business (IB),IB 4980,Independent Study,3,True
,False,International Studies (ISTD),ISTD 1100,Intro to International Studies,1,False
,False,International Studies (ISTD),ISTD 1930,Special Topics,4,True
,False,International Studies (ISTD),ISTD 2800,International Seminar & Practicum,3,True
,False,International Studies (ISTD),ISTD 2900,Intercultural Seminar & Practicum,3,True
,False,International Studies (ISTD),ISTD 2930,Special Topics,3,True
,False,International Studies (ISTD),ISTD 2980,Independent Study,3,True
,False,International Studies (ISTD),ISTD 3910,Internship,6,True
,False,International Studies (ISTD),ISTD 3930,Special Topics,6,True
,False,International Studies (ISTD),ISTD 3980,Independent Study,3,True
,False,International Studies (ISTD),ISTD 4560,Nationalism and Civil War,3,False
,False,International Studies (ISTD),ISTD 4800,Capstone: Seminar in International Studies,3,False
,False,International Studies (ISTD),ISTD 4910,Internship in International Studies,6,True
,False,International Studies (ISTD),ISTD 4930,Special Topics,3,True
,False,International Studies (ISTD),ISTD 4970,International Field Research,3,False
,False,International Studies (ISTD),ISTD 4980,Independent Study,3,True
,False,Internship (INTN),INTN 4910,Internship,6,True
,False,Internship (INTN),INTN 4930,Special Topics,3,True
,False,Internship (INTN),INTN 4980,Independent Study,3,True
,False,Interprofessional Education (IPE),IPE 1100,Introduction to Interprofessional Health Care,1,False
,False,Interprofessional Education (IPE),IPE 2100,Interprofessional Collaboration and Healthcare in Global Context,3,False
"IPE 2100, IPE 1100, NURS 3100",False,Interprofessional Education (IPE),IPE 4200,Applied Decision-Making in Interprofessional Practice,3,False
IPE 4200,False,Interprofessional Education (IPE),IPE 4900,Interprofessional Community Practicum,2,False
"IPE 2100, IPE 4200",False,Interprofessional Education (IPE),IPE 4905,Interprofessional Clinical Practicum,2,False
IPE 4200,False,Interprofessional Education (IPE),IPE 4970,Interprofessional Practicum Experience for PT,0,False
,False,Italian (ITAL),ITAL 1010,Communicating in Italian I,3,False
ITAL 1010,False,Italian (ITAL),ITAL 1020,Communicating in Italian II,3,False
,False,Italian (ITAL),ITAL 1200,Intensive Italian for Gamers,3,False
,False,Italian (ITAL),ITAL 1930,Special Topics,3,True
,False,Italian (ITAL),ITAL 1980,Independent Study,3,True
"ITAL 1020, ITAL 1200",False,Italian (ITAL),ITAL 2010,Intermediate Italian: Language & Culture,3,False
,False,Italian (ITAL),ITAL 2930,Special Topics,3,True
,False,Italian (ITAL),ITAL 2980,Independent Study,3,True
ITAL 2010,False,Italian (ITAL),ITAL 3010,Written Communication in Italian I,3,False
ITAL 2010,False,Italian (ITAL),ITAL 3020,Oral Communication in Italian I,3,False
,False,Italian (ITAL),ITAL 3030,Advanced Oral Communication in Italian,3,False
,False,Italian (ITAL),ITAL 3200,Italian Cinema,3,False
,False,Italian (ITAL),ITAL 3201,Italian Cinema - Major/Minor,3,False
,False,Italian (ITAL),ITAL 3400,Dante's Divine Comedy,3,False
,False,Italian (ITAL),ITAL 3401,Dante’s Divine Comedy - Major/Minor,3,False
,False,Italian (ITAL),ITAL 3450,"Mafia and Antimafia in Italian Culture: Perceptions, Representations, Experiences",3,False
,False,Italian (ITAL),ITAL 3451,"Mafia and Antimafia in Italian Culture: Perceptions, Representations, Experiences - Major/Minor",3,False
,False,Italian (ITAL),ITAL 3550,"Women, Knights, Weapons & Love: Medieval and Renaissance Italian Literature",3,False
,False,Italian (ITAL),ITAL 3551,"Women, Knights, Weapons & Love: Medieval and Renaissance Italian Literature- Major/Minor",3,False
,False,Italian (ITAL),ITAL 3600,Power and Play: Pre-Modern Italian Theatre,3,False
,False,Italian (ITAL),ITAL 3601,"Eros, Power and Play: Pre-Modern Italian Theatre - Major/Minor",3,False
,False,Italian (ITAL),ITAL 3650,Italy Beyond Borders: Social Justice in Modern Italian Culture,3,False
,False,Italian (ITAL),ITAL 3651,Italy Beyond Borders: Social Justice in Modern Italian Culture - Major/Minor,3,False
,False,Italian (ITAL),ITAL 3700,Global Italy: Migration and Multiculturalism,3,False
,False,Italian (ITAL),ITAL 3701,Global Italy: Migration and Multiculturalism - Major/Minor,3,False
,False,Italian (ITAL),ITAL 3910,Internship,6,True
,False,Italian (ITAL),ITAL 3930,Special Topics,3,True
,False,Italian (ITAL),ITAL 3980,Independent Study,3,True
ITAL 3010,False,Italian (ITAL),ITAL 4010,Written Communication in Italian II,3,False
ITAL 3020,False,Italian (ITAL),ITAL 4020,Oral Communication in Italian II,3,False
"ITAL 3010, ITAL 3020",False,Italian (ITAL),ITAL 4300,An Assembly Manual for the Perfect Prince,3,False
,False,Italian (ITAL),ITAL 4910,Internship,6,True
,False,Italian (ITAL),ITAL 4930,Special Topics,3,True
,False,Italian (ITAL),ITAL 4980,Advanced Independent Study,3,True
,False,"Language, Literature and Culture (LLC)",LLC 1250,Speaking in (Inter)Cultural Context,3,False
,False,"Language, Literature and Culture (LLC)",LLC 1255,Modern Languages and Intercultural Competence,3,False
,False,"Language, Literature and Culture (LLC)",LLC 1930,Special Topics,3,True
,False,"Language, Literature and Culture (LLC)",LLC 1980,Independent Study,3,True
,False,"Language, Literature and Culture (LLC)",LLC 2930,Special Topics,3,True
,False,"Language, Literature and Culture (LLC)",LLC 2980,Independent Study,3,True
,False,"Language, Literature and Culture (LLC)",LLC 3210,Social Justice in the Jewish Tradition,3,False
,False,"Language, Literature and Culture (LLC)",LLC 3250,Migrants and Borders on Screen: The Cinema of Migration in Mediterranean Europe,3,False
,False,"Language, Literature and Culture (LLC)",LLC 3930,Special Topics,3,True
,False,"Language, Literature and Culture (LLC)",LLC 3980,Independent Study,3,True
,False,"Language, Literature and Culture (LLC)",LLC 4930,Special Topics,3,True
,False,"Language, Literature and Culture (LLC)",LLC 4980,Advanced Independent Study,3,True
,False,Latin (LATN),LATN 1010,Reading Latin I,3,False
LATN 1010,False,Latin (LATN),LATN 1020,Reading Latin II,3,False
,False,Latin (LATN),LATN 1200,Latin Literature in Translation,3,False
,False,Latin (LATN),LATN 1930,Special Topics,4,True
,False,Latin (LATN),LATN 1980,Independent Study,3,True
LATN 1020,False,Latin (LATN),LATN 2010,Intermediate Latin: Language & Literature,3,False
LATN 1020,False,Latin (LATN),LATN 2020,Intermediate Latin: Rhetoric and Poetry,3,False
,False,Latin (LATN),LATN 2930,Special Topics,3,True
,False,Latin (LATN),LATN 2980,Independent Study,3,True
,False,Latin (LATN),LATN 3010,Advanced Latin Readings,3,True
,False,Latin (LATN),LATN 3910,Internship,6,True
,False,Latin (LATN),LATN 3930,Special Topics,4,True
,False,Latin (LATN),LATN 3980,Independent Study,3,True
LATN 2010,False,Latin (LATN),LATN 4000,Composition-Sight Translation,3,False
LATN 2010,False,Latin (LATN),LATN 4010,Latin Fathers,3,False
,False,Latin (LATN),LATN 4020,Roman Letter Writers,3,False
LATN 2010,False,Latin (LATN),LATN 4100,Intro to Post-Classical Latin,3,False
LATN 2010,False,Latin (LATN),LATN 4110,Medieval Latin Readings I,3,False
LATN 2010,False,Latin (LATN),LATN 4120,Medieval Latin Readings II,3,False
LATN 2010,False,Latin (LATN),LATN 4130,Medieval Latin Readings III,3,False
LATN 2010,False,Latin (LATN),LATN 4230,Cicero as Essayist,3,False
LATN 2010,False,Latin (LATN),LATN 4280,Readings in Saint Augustine,3,True
LATN 2010,False,Latin (LATN),LATN 4330,Readings in Select Historians,3,True
LATN 2010,False,Latin (LATN),LATN 4340,Readings in Livy,3,True
LATN 2010,False,Latin (LATN),LATN 4400,Readings in Ovid,3,True
LATN 2010,False,Latin (LATN),LATN 4430,Literary Study of Horace's Odes,3,False
LATN 2010,False,Latin (LATN),LATN 4440,Readings in Vergil,3,True
LATN 2010,False,Latin (LATN),LATN 4470,Roman Satire,3,False
LATN 2010,False,Latin (LATN),LATN 4480,Elegiac Poets,3,False
LATN 2010,False,Latin (LATN),LATN 4510,Roman Comedy,3,False
LATN 2010,False,Latin (LATN),LATN 4620,Readings in Lucretius,3,True
,False,Latin (LATN),LATN 4630,Introduction to Paleography,3,False
LATN 2010,False,Latin (LATN),LATN 4650,Latin Literature I,3,False
LATN 2010,False,Latin (LATN),LATN 4660,Latin Literature II,3,False
,False,Latin (LATN),LATN 4910,Internship,6,True
,False,Latin (LATN),LATN 4930,Special Topics,3,True
,False,Latin (LATN),LATN 4960,Senior Inquiry: Research Project,3,True
,False,Latin (LATN),LATN 4980,Advanced Independent Study,6,True
,False,Latin American Studies (LAS),LAS 1930,Special Topics,4,True
,False,Latin American Studies (LAS),LAS 1980,Independent Study,3,True
,False,Latin American Studies (LAS),LAS 2930,Special Topics,3,True
,False,Latin American Studies (LAS),LAS 2980,Independent Study,3,True
,False,Latin American Studies (LAS),LAS 3000,Introduction to Latin American Studies,3,False
,False,Latin American Studies (LAS),LAS 3910,Internship,6,True
,False,Latin American Studies (LAS),LAS 3930,Special Topics,3,True
,False,Latin American Studies (LAS),LAS 3980,Independent Study,3,True
,False,Latin American Studies (LAS),LAS 4910,Internship,6,True
,False,Latin American Studies (LAS),LAS 4930,Special Topics,3,True
,False,Latin American Studies (LAS),LAS 4960,Senior Inquiry,3,False
,False,Latin American Studies (LAS),LAS 4980,Advanced Independent Study,3,True
,False,Magnetic Resonance Imaging (MRI),MRI 4300,MRI Clinical Practicum I,6,False
,False,Magnetic Resonance Imaging (MRI),MRI 4310,Physical Principles,3,False
,False,Magnetic Resonance Imaging (MRI),MRI 4320,Cross Sectional Anatomy and Pathology,3,False
,False,Magnetic Resonance Imaging (MRI),MRI 4330,Instrumentation and Quality Analysis,3,False
,False,Magnetic Resonance Imaging (MRI),MRI 4340,Clinical MRI & Imaging Production I,3,False
,False,Magnetic Resonance Imaging (MRI),MRI 4345,Clinical MRI & Imaging Production II,3,False
,False,Magnetic Resonance Imaging (MRI),MRI 4350,Patient Care and MRI Safety,3,False
"MRI 4310, MRI 4320, MRI 4330, MRI 4340, MRI 4350",False,Magnetic Resonance Imaging (MRI),MRI 4410,Clinical MRI Practicum,9,False
,False,Magnetic Resonance Imaging (MRI),MRI 4420,Emerging Technologies,2,False
,False,Magnetic Resonance Imaging (MRI),MRI 4700,MRI Clinical Practicum II,10,False
,False,Magnetic Resonance Imaging (MRI),MRI 4750,MRI Clinical Practicum Senior Seminar,1,False
,False,Magnetic Resonance Imaging (MRI),MRI 4910,Clinical Practicum,0,False
,False,Magnetic Resonance Imaging (MRI),MRI 4960,Capstone in MRI,2,False
,False,Magnetic Resonance Imaging (MRI),MRI 4980,Independent Study,3,True
,False,Management (MGT),MGT 2000,Legal Environment of Business I,3,False
,False,Management (MGT),MGT 2930,Special Topics,3,True
,False,Management (MGT),MGT 2980,Independent Study,3,True
,False,Management (MGT),MGT 3000,Management Theory and Practice,3,False
MGT 3000,False,Management (MGT),MGT 3100,Organization Behavior,3,False
MGT 3000,False,Management (MGT),MGT 3200,Managing Ideas in Entrepreneurial Firms,3,False
MGT 3000,False,Management (MGT),MGT 3201,Social Entrepreneurship,3,False
"MGT 3200, MGT 3201, MGT 3000, ACCT 2200, MGT 2000",False,Management (MGT),MGT 3210,Managing Resources in Entrepreneurial Firms,3,False
MGT 3000,False,Management (MGT),MGT 3300,Management of Human Resources,3,False
MGT 3000,False,Management (MGT),MGT 3301,Negotiations and Conflict Resolution,3,False
MGT 3000,False,Management (MGT),MGT 3400,Intro to Sports Management,3,False
MGT 3000,False,Management (MGT),MGT 3401,Intercollegiate Athletics Mgmt,3,False
BTM 2000,False,Management (MGT),MGT 3800,Project Management,3,False
,False,Management (MGT),MGT 3930,Special Topics,3,True
,False,Management (MGT),MGT 3980,Independent Study,3,True
"ACCT 2200, ACCT 2220, ECON 1900, ECON 3120, ECON 3140, FIN 3010, IB 2000, MGT 2000, MGT 3000, MKT 3000, OPM 2070, OPM 3050, BIZ 3000, BTM 2000, BIZ 4000",True,Management (MGT),MGT 4000,Strategic Management and Policy,3,False
MGT 3100,False,Management (MGT),MGT 4101,Fundamentals of Leadership,3,False
MGT 3100,False,Management (MGT),MGT 4102,Failing Forward: Leadership in Turbulent Times,3,False
MGT 3100,False,Management (MGT),MGT 4103,Current Problems in Management,3,False
"MGT 3200, MGT 3201, MGT 3210",False,Management (MGT),MGT 4200,Business Plan Development,3,False
MGT 3300,False,Management (MGT),MGT 4301,Talent Management,3,False
MGT 3300,False,Management (MGT),MGT 4302,Compensation,3,False
"MGT 3400, MKT 3500, ECON 4500, MGT 3301, MGT 4401, MGT 4914, MGT 4403, MGT 3401, MGT 3800",False,Management (MGT),MGT 4400,Integrated Sports Business Planning,3,False
MGT 2000,False,Management (MGT),MGT 4401,Legal Issues Sports and Entertainment,3,False
OPM 2070,False,Management (MGT),MGT 4403,Sports Analytics,3,False
MGT 2000,False,Management (MGT),MGT 4500,Legal Environment of Business II,3,False
